layer_id,layer_number,layer_type,all_mean,all_std,all_min,all_max,all_tokens,loss_mean,loss_std,loss_min,loss_max,loss_tokens
21,22,linear_attention,0.9183773690945268,0.02454648022517299,0.7248178720474243,0.97340989112854,5169,0.9169479969594511,0.022712636087307884,0.7248178720474243,0.9636291265487671,4378
22,23,linear_attention,0.9087465905801866,0.026520075033689878,0.7622630596160889,0.9602806568145752,5169,0.9087372418678531,0.023819819791028797,0.7831329107284546,0.9559724926948547,4378
23,24,full_attention,0.9141810751671624,0.02737191861940964,0.7863991856575012,0.9771863222122192,5169,0.911319152358026,0.025807674170550063,0.7863991856575012,0.9677679538726807,4378
24,25,linear_attention,0.939682753687095,0.0227200284424729,0.8108760714530945,0.9937482476234436,5169,0.9387297580208392,0.021168579480677997,0.8108760714530945,0.9825716018676758,4378
25,26,linear_attention,0.9487932219591102,0.021622239140401005,0.7738356590270996,0.9870074987411499,5169,0.9483546940580031,0.020120628211619813,0.7738356590270996,0.9870074987411499,4378
26,27,linear_attention,0.9356911087847928,0.030054121825628857,0.7296890616416931,0.9814110398292542,5169,0.9363623941908584,0.026798176198891167,0.7422701120376587,0.9794690012931824,4378
27,28,full_attention,0.9149654637132122,0.03320656374921766,0.6921122074127197,0.9789249300956726,5169,0.912650950481054,0.03123786686152871,0.6921122074127197,0.9669314026832581,4378
28,29,linear_attention,0.9353386186543274,0.026961824621726544,0.7410079836845398,0.9787828326225281,5169,0.9341557948433574,0.02598076197928436,0.7410079836845398,0.9774280190467834,4378
29,30,linear_attention,0.9362437314096054,0.031192294406778034,0.7223848104476929,0.9801434278488159,5169,0.9354566989722672,0.029909478764394357,0.7223848104476929,0.9801434278488159,4378
30,31,linear_attention,0.9015318194725316,0.048576537042895246,0.4770122170448303,0.9665601253509521,5169,0.9004973319634394,0.04472721587243123,0.4898625612258911,0.960578441619873,4378
31,32,full_attention,0.7482088797095666,0.07086325261661751,0.4178518056869507,0.8764989376068115,5169,0.7642877229330691,0.05601304172610102,0.44499170780181885,0.8764989376068115,4378
